"","X","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"121",121,6.642415,8.452697,1.310199,32.668194,30.076541,1
"122",122,6.473689,8.707038,0.442826,31.586199,30.436738,1
"123",123,8.344789,8.859585,0.432064,31.146389,30.498167,1
"124",124,6.473689,8.707038,0.442826,31.586199,30.436738,1
"125",125,6.473689,8.707038,0.442826,31.586199,30.436738,1
"126",126,6.642415,8.452697,1.310199,32.668194,30.076541,1
"127",127,NA,NA,NA,NA,NA,1
"128",128,NA,NA,NA,NA,NA,1
"129",129,6.473689,8.707038,0.442826,31.586199,30.436738,1
"130",130,6.473689,8.707038,0.442826,31.586199,30.436738,1
"131",131,6.473689,8.707038,0.442826,31.586199,30.436738,1
"132",132,6.473689,8.707038,0.442826,31.586199,30.436738,1
"133",133,6.642415,8.452697,1.310199,32.668194,30.076541,1
"134",134,6.473689,8.707038,0.442826,31.586199,30.436738,1
"135",135,6.473689,8.707038,0.442826,31.586199,30.436738,1
"136",136,NA,NA,NA,NA,NA,1
"137",137,6.473689,8.707038,0.442826,31.586199,30.436738,1
"138",138,8.344789,8.859585,0.432064,31.146389,30.498167,1
"139",139,6.473689,8.707038,0.442826,31.586199,30.436738,1
"140",140,6.642415,8.452697,1.310199,32.668194,30.076541,1
"141",141,6.473689,8.707038,0.442826,31.586199,30.436738,1
"142",142,6.473689,8.707038,0.442826,31.586199,30.436738,1
"143",143,6.473689,8.707038,0.442826,31.586199,30.436738,1
"144",144,6.473689,8.707038,0.442826,31.586199,30.436738,1
"145",145,6.473689,8.707038,0.442826,31.586199,30.436738,1
"146",146,6.221054,8.972713,0.4092,31.626728,30.516929,1
"147",147,6.473689,8.707038,0.442826,31.586199,30.436738,1
"148",148,6.473689,8.707038,0.442826,31.586199,30.436738,1
"149",149,NA,NA,NA,NA,NA,1
"150",150,6.473689,8.707038,0.442826,31.586199,30.436738,1
"151",151,6.473689,8.707038,0.442826,31.586199,30.436738,1
"152",152,6.473689,8.707038,0.442826,31.586199,30.436738,1
"153",153,6.473689,8.707038,0.442826,31.586199,30.436738,1
"154",154,NA,NA,NA,NA,NA,1
"155",155,6.473689,8.707038,0.442826,31.586199,30.436738,1
"156",156,6.642415,8.452697,1.310199,32.668194,30.076541,1
"157",157,6.473689,8.707038,0.442826,31.586199,30.436738,1
"158",158,6.473689,8.707038,0.442826,31.586199,30.436738,1
"159",159,6.473689,8.707038,0.442826,31.586199,30.436738,1
"160",160,NA,NA,NA,NA,NA,1
"161",161,6.330499,8.456971,1.280386,32.359314,30.205078,1
"162",162,6.473689,8.707038,0.442826,31.586199,30.436738,1
"163",163,6.473689,8.707038,0.442826,31.586199,30.436738,1
"164",164,6.473689,8.707038,0.442826,31.586199,30.436738,1
"165",165,6.473689,8.707038,0.442826,31.586199,30.436738,1
"166",166,NA,NA,NA,NA,NA,1
"167",167,6.642415,8.452697,1.310199,32.668194,30.076541,1
"168",168,6.473689,8.707038,0.442826,31.586199,30.436738,1
"169",169,6.642415,8.452697,1.310199,32.668194,30.076541,1
"170",170,NA,NA,NA,NA,NA,1
"171",171,8.344789,8.859585,0.432064,31.146389,30.498167,1
"172",172,6.473689,8.707038,0.442826,31.586199,30.436738,1
"173",173,6.473689,8.707038,0.442826,31.586199,30.436738,1
"174",174,6.473689,8.707038,0.442826,31.586199,30.436738,1
"175",175,6.642415,8.452697,1.310199,32.668194,30.076541,1
"176",176,NA,NA,NA,NA,NA,1
"177",177,6.473689,8.707038,0.442826,31.586199,30.436738,1
"178",178,6.473689,8.707038,0.442826,31.586199,30.436738,1
"179",179,6.473689,8.707038,0.442826,31.586199,30.436738,1
"180",180,NA,NA,NA,NA,NA,1
"181",181,9.84325,8.479806,1.318913,33.650246,30.087677,1
"182",182,8.344789,8.859585,0.432064,31.146389,30.498167,1
"183",183,6.642415,8.452697,1.310199,32.668194,30.076541,1
"184",184,8.344789,8.859585,0.432064,31.146389,30.498167,1
"185",185,6.473689,8.707038,0.442826,31.586199,30.436738,1
"186",186,6.473689,8.707038,0.442826,31.586199,30.436738,1
"187",187,6.473689,8.707038,0.442826,31.586199,30.436738,1
"188",188,6.473689,8.707038,0.442826,31.586199,30.436738,1
"189",189,NA,NA,NA,NA,NA,1
"190",190,6.473689,8.707038,0.442826,31.586199,30.436738,1
"191",191,6.473689,8.707038,0.442826,31.586199,30.436738,1
"192",192,6.473689,8.707038,0.442826,31.586199,30.436738,1
"193",193,NA,NA,NA,NA,NA,1
"194",194,NA,NA,NA,NA,NA,1
"195",195,6.473689,8.707038,0.442826,31.586199,30.436738,1
"196",196,6.473689,8.707038,0.442826,31.586199,30.436738,1
"197",197,6.646921,8.457728,1.334337,32.346096,30.072259,1
"198",198,6.473689,8.707038,0.442826,31.586199,30.436738,1
"199",199,6.473689,8.707038,0.442826,31.586199,30.436738,1
"200",200,6.473689,8.707038,0.442826,31.586199,30.436738,1
"201",201,NA,NA,NA,NA,NA,1
"202",202,6.473689,8.707038,0.442826,31.586199,30.436738,1
"203",203,6.473689,8.707038,0.442826,31.586199,30.436738,1
"204",204,6.473689,8.707038,0.442826,31.586199,30.436738,1
"205",205,6.473689,8.707038,0.442826,31.586199,30.436738,1
"206",206,6.473689,8.707038,0.442826,31.586199,30.436738,1
"207",207,6.473689,8.707038,0.442826,31.586199,30.436738,1
"208",208,6.473689,8.707038,0.442826,31.586199,30.436738,1
"209",209,NA,NA,NA,NA,NA,1
"210",210,6.473689,8.707038,0.442826,31.586199,30.436738,1
"211",211,6.473689,8.707038,0.442826,31.586199,30.436738,1
"212",212,6.473689,8.707038,0.442826,31.586199,30.436738,1
"213",213,6.473689,8.707038,0.442826,31.586199,30.436738,1
"214",214,6.473689,8.707038,0.442826,31.586199,30.436738,1
"215",215,6.642415,8.452697,1.310199,32.668194,30.076541,1
"216",216,6.473689,8.707038,0.442826,31.586199,30.436738,1
"217",217,6.473689,8.707038,0.442826,31.586199,30.436738,1
"218",218,NA,NA,NA,NA,NA,1
"219",219,NA,NA,NA,NA,NA,1
"220",220,6.473689,8.707038,0.442826,31.586199,30.436738,1
"221",221,6.473689,8.707038,0.442826,31.586199,30.436738,1
"222",222,6.473689,8.707038,0.442826,31.586199,30.436738,1
"223",223,6.473689,8.707038,0.442826,31.586199,30.436738,1
"224",224,6.473689,8.707038,0.442826,31.586199,30.436738,1
"225",225,6.473689,8.707038,0.442826,31.586199,30.436738,1
"226",226,NA,NA,NA,NA,NA,1
"227",227,NA,NA,NA,NA,NA,1
"228",228,6.221054,8.972713,0.4092,31.626728,30.516929,1
"229",229,6.473689,8.707038,0.442826,31.586199,30.436738,1
"230",230,6.473689,8.707038,0.442826,31.586199,30.436738,1
"231",231,6.473689,8.707038,0.442826,31.586199,30.436738,1
"232",232,6.473689,8.707038,0.442826,31.586199,30.436738,1
"233",233,6.473689,8.707038,0.442826,31.586199,30.436738,1
"234",234,6.473689,8.707038,0.442826,31.586199,30.436738,1
"235",235,6.473689,8.707038,0.442826,31.586199,30.436738,1
"236",236,6.473689,8.707038,0.442826,31.586199,30.436738,1
"237",237,6.473689,8.707038,0.442826,31.586199,30.436738,1
"238",238,6.473689,8.707038,0.442826,31.586199,30.436738,1
"239",239,6.473689,8.707038,0.442826,31.586199,30.436738,1
"240",240,6.642415,8.452697,1.310199,32.668194,30.076541,1
"241",241,8.344789,8.859585,0.432064,31.146389,30.498167,1
"242",242,6.473689,8.707038,0.442826,31.586199,30.436738,1
"243",243,6.473689,8.707038,0.442826,31.586199,30.436738,1
"244",244,6.473689,8.707038,0.442826,31.586199,30.436738,1
"245",245,NA,NA,NA,NA,NA,1
"246",246,8.344789,8.859585,0.432064,31.146389,30.498167,1
"247",247,5.292134,8.957577,0.418972,32.208462,30.512912,1
"248",248,6.473689,8.707038,0.442826,31.586199,30.436738,1
"249",249,NA,NA,NA,NA,NA,1
"250",250,6.473689,8.707038,0.442826,31.586199,30.436738,1
"251",251,8.344789,8.859585,0.432064,31.146389,30.498167,1
"252",252,6.473689,8.707038,0.442826,31.586199,30.436738,1
"253",253,6.473689,8.707038,0.442826,31.586199,30.436738,1
"254",254,6.473689,8.707038,0.442826,31.586199,30.436738,1
"255",255,8.344789,8.859585,0.432064,31.146389,30.498167,1
"256",256,6.473689,8.707038,0.442826,31.586199,30.436738,1
"257",257,6.473689,8.707038,0.442826,31.586199,30.436738,1
"258",258,NA,NA,NA,NA,NA,1
"259",259,6.473689,8.707038,0.442826,31.586199,30.436738,1
"260",260,6.473689,8.707038,0.442826,31.586199,30.436738,1
"261",261,NA,NA,NA,NA,NA,1
"262",262,6.473689,8.707038,0.442826,31.586199,30.436738,1
"263",263,6.473689,8.707038,0.442826,31.586199,30.436738,1
"264",264,6.473689,8.707038,0.442826,31.586199,30.436738,1
"265",265,6.473689,8.707038,0.442826,31.586199,30.436738,1
"266",266,6.473689,8.707038,0.442826,31.586199,30.436738,1
"267",267,6.642415,8.452697,1.310199,32.668194,30.076541,1
"268",268,6.473689,8.707038,0.442826,31.586199,30.436738,1
"269",269,6.473689,8.707038,0.442826,31.586199,30.436738,1
"270",270,8.344789,8.859585,0.432064,31.146389,30.498167,1
"271",271,6.473689,8.707038,0.442826,31.586199,30.436738,1
"272",272,6.473689,8.707038,0.442826,31.586199,30.436738,1
"273",273,6.642415,8.452697,1.310199,32.668194,30.076541,1
"274",274,NA,NA,NA,NA,NA,1
"275",275,6.473689,8.707038,0.442826,31.586199,30.436738,1
"276",276,6.473689,8.707038,0.442826,31.586199,30.436738,1
"277",277,6.473689,8.707038,0.442826,31.586199,30.436738,1
"278",278,6.473689,8.707038,0.442826,31.586199,30.436738,1
"279",279,9.84325,8.479806,1.318913,33.650246,30.087677,1
"280",280,NA,NA,NA,NA,NA,1
"281",281,6.642415,8.452697,1.310199,32.668194,30.076541,1
"282",282,NA,NA,NA,NA,NA,1
"283",283,6.473689,8.707038,0.442826,31.586199,30.436738,1
"284",284,NA,NA,NA,NA,NA,1
"285",285,6.473689,8.707038,0.442826,31.586199,30.436738,1
"286",286,8.028873,8.754766,0.952891,32.179928,31.266639,1
"287",287,8.344789,8.859585,0.432064,31.146389,30.498167,1
"288",288,6.473689,8.707038,0.442826,31.586199,30.436738,1
"289",289,6.473689,8.707038,0.442826,31.586199,30.436738,1
"290",290,6.642415,8.452697,1.310199,32.668194,30.076541,1
"291",291,6.473689,8.707038,0.442826,31.586199,30.436738,1
"292",292,9.84325,8.479806,1.318913,33.650246,30.087677,1
"293",293,6.473689,8.707038,0.442826,31.586199,30.436738,1
"294",294,6.473689,8.707038,0.442826,31.586199,30.436738,1
"295",295,6.473689,8.707038,0.442826,31.586199,30.436738,1
"296",296,6.473689,8.707038,0.442826,31.586199,30.436738,1
"297",297,6.473689,8.707038,0.442826,31.586199,30.436738,1
"298",298,6.473689,8.707038,0.442826,31.586199,30.436738,1
"299",299,6.473689,8.707038,0.442826,31.586199,30.436738,1
"300",300,6.646921,8.457728,1.334337,32.346096,30.072259,1
"301",301,6.473689,8.707038,0.442826,31.586199,30.436738,1
"302",302,6.473689,8.707038,0.442826,31.586199,30.436738,1
"303",303,6.473689,8.707038,0.442826,31.586199,30.436738,1
"304",304,6.473689,8.707038,0.442826,31.586199,30.436738,1
"305",305,6.473689,8.707038,0.442826,31.586199,30.436738,1
"306",306,6.473689,8.707038,0.442826,31.586199,30.436738,1
"307",307,6.473689,8.707038,0.442826,31.586199,30.436738,1
"308",308,NA,NA,NA,NA,NA,1
"309",309,6.642415,8.452697,1.310199,32.668194,30.076541,1
"310",310,6.473689,8.707038,0.442826,31.586199,30.436738,1
"311",311,NA,NA,NA,NA,NA,1
"312",312,8.344789,8.859585,0.432064,31.146389,30.498167,1
"313",313,6.473689,8.707038,0.442826,31.586199,30.436738,1
"314",314,6.646921,8.457728,1.334337,32.346096,30.072259,1
"315",315,6.473689,8.707038,0.442826,31.586199,30.436738,1
"316",316,6.330499,8.456971,1.280386,32.359314,30.205078,1
"317",317,6.473689,8.707038,0.442826,31.586199,30.436738,1
"318",318,6.473689,8.707038,0.442826,31.586199,30.436738,1
"319",319,6.473689,8.707038,0.442826,31.586199,30.436738,1
"320",320,8.344789,8.859585,0.432064,31.146389,30.498167,1
"321",321,NA,NA,NA,NA,NA,1
"322",322,6.473689,8.707038,0.442826,31.586199,30.436738,1
"323",323,6.473689,8.707038,0.442826,31.586199,30.436738,1
"324",324,6.473689,8.707038,0.442826,31.586199,30.436738,1
"325",325,NA,NA,NA,NA,NA,1
"326",326,6.473689,8.707038,0.442826,31.586199,30.436738,1
"327",327,6.473689,8.707038,0.442826,31.586199,30.436738,1
"328",328,6.473689,8.707038,0.442826,31.586199,30.436738,1
"329",329,6.473689,8.707038,0.442826,31.586199,30.436738,1
"330",330,6.473689,8.707038,0.442826,31.586199,30.436738,1
"331",331,6.646921,8.457728,1.334337,32.346096,30.072259,1
"332",332,NA,NA,NA,NA,NA,1
"333",333,NA,NA,NA,NA,NA,1
"334",334,8.344789,8.859585,0.432064,31.146389,30.498167,1
"335",335,6.473689,8.707038,0.442826,31.586199,30.436738,1
"336",336,6.473689,8.707038,0.442826,31.586199,30.436738,1
"337",337,NA,NA,NA,NA,NA,1
"338",338,NA,NA,NA,NA,NA,1
"339",339,6.646921,8.457728,1.334337,32.346096,30.072259,1
"340",340,6.473689,8.707038,0.442826,31.586199,30.436738,1
"341",341,NA,NA,NA,NA,NA,1
"342",342,6.473689,8.707038,0.442826,31.586199,30.436738,1
"343",343,NA,NA,NA,NA,NA,1
"344",344,6.473689,8.707038,0.442826,31.586199,30.436738,1
"345",345,6.642415,8.452697,1.310199,32.668194,30.076541,1
"346",346,6.473689,8.707038,0.442826,31.586199,30.436738,1
"347",347,NA,NA,NA,NA,NA,1
"348",348,NA,NA,NA,NA,NA,1
"349",349,6.473689,8.707038,0.442826,31.586199,30.436738,1
"350",350,6.473689,8.707038,0.442826,31.586199,30.436738,1
"351",351,6.473689,8.707038,0.442826,31.586199,30.436738,1
"352",352,6.473689,8.707038,0.442826,31.586199,30.436738,1
"353",353,NA,NA,NA,NA,NA,1
"354",354,6.473689,8.707038,0.442826,31.586199,30.436738,1
"355",355,8.344789,8.859585,0.432064,31.146389,30.498167,1
"356",356,NA,NA,NA,NA,NA,1
"357",357,6.642415,8.452697,1.310199,32.668194,30.076541,1
"358",358,6.473689,8.707038,0.442826,31.586199,30.436738,1
"359",359,NA,NA,NA,NA,NA,1
"360",360,6.473689,8.707038,0.442826,31.586199,30.436738,1
"361",361,NA,NA,NA,NA,NA,1
"362",362,6.473689,8.707038,0.442826,31.586199,30.436738,1
"363",363,8.344789,8.859585,0.432064,31.146389,30.498167,1
"364",364,6.473689,8.707038,0.442826,31.586199,30.436738,1
"365",365,NA,NA,NA,NA,NA,1
"366",366,6.473689,8.707038,0.442826,31.586199,30.436738,1
"367",367,6.473689,8.707038,0.442826,31.586199,30.436738,1
"368",368,6.473689,8.707038,0.442826,31.586199,30.436738,1
"369",369,6.642415,8.452697,1.310199,32.668194,30.076541,1
"370",370,6.473689,8.707038,0.442826,31.586199,30.436738,1
"371",371,6.473689,8.707038,0.442826,31.586199,30.436738,1
"372",372,NA,NA,NA,NA,NA,1
"373",373,6.473689,8.707038,0.442826,31.586199,30.436738,1
"374",374,6.642415,8.452697,1.310199,32.668194,30.076541,1
"375",375,NA,NA,NA,NA,NA,1
"376",376,6.473689,8.707038,0.442826,31.586199,30.436738,1
"377",377,NA,NA,NA,NA,NA,1
"378",378,9.84325,8.479806,1.318913,33.650246,30.087677,1
"379",379,NA,NA,NA,NA,NA,1
"380",380,5.292134,8.957577,0.418972,32.208462,30.512912,1
"381",381,6.473689,8.707038,0.442826,31.586199,30.436738,1
"382",382,NA,NA,NA,NA,NA,1
"383",383,6.473689,8.707038,0.442826,31.586199,30.436738,1
"384",384,6.473689,8.707038,0.442826,31.586199,30.436738,1
"385",385,6.473689,8.707038,0.442826,31.586199,30.436738,1
"386",386,6.473689,8.707038,0.442826,31.586199,30.436738,1
"387",387,6.473689,8.707038,0.442826,31.586199,30.436738,1
"388",388,6.473689,8.707038,0.442826,31.586199,30.436738,1
"389",389,6.473689,8.707038,0.442826,31.586199,30.436738,1
"390",390,6.473689,8.707038,0.442826,31.586199,30.436738,1
"391",391,6.642415,8.452697,1.310199,32.668194,30.076541,1
"392",392,6.473689,8.707038,0.442826,31.586199,30.436738,1
"393",393,6.473689,8.707038,0.442826,31.586199,30.436738,1
"394",394,6.473689,8.707038,0.442826,31.586199,30.436738,1
"395",395,7.316595,8.451973,1.281597,31.951115,30.410813,1
"396",396,6.473689,8.707038,0.442826,31.586199,30.436738,1
"397",397,6.642415,8.452697,1.310199,32.668194,30.076541,1
"398",398,NA,NA,NA,NA,NA,1
"399",399,6.473689,8.707038,0.442826,31.586199,30.436738,1
"400",400,6.473689,8.707038,0.442826,31.586199,30.436738,1
"401",401,6.473689,8.707038,0.442826,31.586199,30.436738,1
"402",402,8.344789,8.859585,0.432064,31.146389,30.498167,1
"403",403,6.473689,8.707038,0.442826,31.586199,30.436738,1
"404",404,6.473689,8.707038,0.442826,31.586199,30.436738,1
"405",405,6.473689,8.707038,0.442826,31.586199,30.436738,1
"406",406,NA,NA,NA,NA,NA,1
"407",407,6.473689,8.707038,0.442826,31.586199,30.436738,1
"408",408,6.473689,8.707038,0.442826,31.586199,30.436738,1
"409",409,6.473689,8.707038,0.442826,31.586199,30.436738,1
"410",410,6.473689,8.707038,0.442826,31.586199,30.436738,1
"411",411,6.473689,8.707038,0.442826,31.586199,30.436738,1
"412",412,6.642415,8.452697,1.310199,32.668194,30.076541,1
"413",413,6.473689,8.707038,0.442826,31.586199,30.436738,1
"414",414,NA,NA,NA,NA,NA,1
"415",415,6.473689,8.707038,0.442826,31.586199,30.436738,1
"416",416,6.473689,8.707038,0.442826,31.586199,30.436738,1
"417",417,6.330499,8.456971,1.280386,32.359314,30.205078,1
"418",418,6.642415,8.452697,1.310199,32.668194,30.076541,1
"419",419,6.473689,8.707038,0.442826,31.586199,30.436738,1
"420",420,NA,NA,NA,NA,NA,1
"421",421,6.473689,8.707038,0.442826,31.586199,30.436738,1
"422",422,6.473689,8.707038,0.442826,31.586199,30.436738,1
"423",423,6.473689,8.707038,0.442826,31.586199,30.436738,1
"424",424,9.84325,8.479806,1.318913,33.650246,30.087677,1
"425",425,NA,NA,NA,NA,NA,1
"426",426,NA,NA,NA,NA,NA,1
"427",427,6.473689,8.707038,0.442826,31.586199,30.436738,1
"428",428,6.473689,8.707038,0.442826,31.586199,30.436738,1
"429",429,6.473689,8.707038,0.442826,31.586199,30.436738,1
"430",430,6.473689,8.707038,0.442826,31.586199,30.436738,1
"431",431,6.473689,8.707038,0.442826,31.586199,30.436738,1
"432",432,6.473689,8.707038,0.442826,31.586199,30.436738,1
"433",433,6.473689,8.707038,0.442826,31.586199,30.436738,1
"434",434,6.473689,8.707038,0.442826,31.586199,30.436738,1
"435",435,6.473689,8.707038,0.442826,31.586199,30.436738,1
"436",436,6.473689,8.707038,0.442826,31.586199,30.436738,1
"437",437,6.642415,8.452697,1.310199,32.668194,30.076541,1
"438",438,NA,NA,NA,NA,NA,1
"439",439,NA,NA,NA,NA,NA,1
"440",440,6.473689,8.707038,0.442826,31.586199,30.436738,1
"441",441,6.473689,8.707038,0.442826,31.586199,30.436738,1
"442",442,6.473689,8.707038,0.442826,31.586199,30.436738,1
"443",443,6.473689,8.707038,0.442826,31.586199,30.436738,1
"444",444,NA,NA,NA,NA,NA,1
"445",445,6.473689,8.707038,0.442826,31.586199,30.436738,1
"446",446,NA,NA,NA,NA,NA,1
"447",447,8.344789,8.859585,0.432064,31.146389,30.498167,1
"448",448,6.473689,8.707038,0.442826,31.586199,30.436738,1
"449",449,6.473689,8.707038,0.442826,31.586199,30.436738,1
"450",450,NA,NA,NA,NA,NA,1
"451",451,9.84325,8.479806,1.318913,33.650246,30.087677,1
"452",452,6.473689,8.707038,0.442826,31.586199,30.436738,1
"453",453,6.473689,8.707038,0.442826,31.586199,30.436738,1
"454",454,6.473689,8.707038,0.442826,31.586199,30.436738,1
"455",455,6.473689,8.707038,0.442826,31.586199,30.436738,1
"456",456,6.473689,8.707038,0.442826,31.586199,30.436738,1
"457",457,6.473689,8.707038,0.442826,31.586199,30.436738,1
"458",458,6.473689,8.707038,0.442826,31.586199,30.436738,1
