"","datasetName","Year","Month","individualCount","vernacularName","geometry"
"21","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2013","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.287833, 42.803833)
"22","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.579833, 44.96)
"23","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2013","07",NA,NA,c(-65.6125, 42.5888)
"24","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"25","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2016","07",NA,NA,c(-66.1283, 44.5518)
"26","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"27","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-66.2827, 44.8493)
"28","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.961667, 42.219167)
"29",NA,"2008","10","161",NA,c(-68.63698, 43.80143)
"30",NA,"2013","10",NA,"squid long finned",c(-69.7475900558063, 43.7020500043162)
"31",NA,"2010","05",NA,"squid long finned",c(-67.8579104472133, 44.2489152959299)
"32","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-65.2383, 42.6107)
"33","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"34",NA,"2006","10",NA,"squid long finned",c(-68.5378603453906, 44.1606101192521)
"35",NA,"2013","05",NA,"squid long finned",c(-70.0994751380757, 43.7127500303557)
"36","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"37","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"38",NA,"2000","10","1",NA,c(-66.611, 42.31717)
"39",NA,"2012","10",NA,"squid long finned",c(-69.6945497484339, 43.7140050296053)
"40",NA,"2017","05",NA,"squid long finned",c(-68.1676546411903, 44.4280000934827)
"41","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.6135, 42.696333)
"42",NA,"2007","10",NA,"squid long finned",c(-70.7445105171048, 42.9350851928842)
"43","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-65.808, 42.9352)
"44",NA,"2011","05",NA,"squid long finned",c(-67.7226415564226, 44.4588416782559)
"45",NA,"2015","09",NA,"squid long finned",c(-70.3573855158965, 43.0809102001331)
"46",NA,"2008","10",NA,"squid long finned",c(-68.7215251208012, 43.7738600104655)
"47","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"48","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"49","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.605667, 44.868)
"50","MARITIMES SPRING RESEARCH VESSEL SURVEY","2004","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.9685, 42.0565)
"51",NA,"2012","09",NA,"squid long finned",c(-70.2899954139256, 43.2056251400615)
"52",NA,"2008","10","38",NA,c(-70.54948, 42.72795)
"53","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"54",NA,"2017","05",NA,"squid long finned",c(-68.5438549620876, 44.0331750032632)
"55","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"56","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.399833, 43.793667)
"57","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"58","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-64.7245, 42.9732)
"59",NA,"2019","09",NA,"squid long finned",c(-70.4328716063225, 43.1110824964355)
"60","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.282667, 44.849333)
"61","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.342, 44.2088)
"62","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-64.4185, 43.2323)
"63","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.472833, 42.620333)
"64","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"65",NA,"2013","05",NA,"squid long finned",c(-68.3988245368879, 44.0605701296579)
"66",NA,"2010","10",NA,"squid long finned",c(-69.6991850071749, 43.7694400009735)
"67","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.8455, 43.3435)
"68",NA,"2015","10",NA,"squid long finned",c(-69.6215996665306, 43.7941600508668)
"69","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.425667, 42.362)
"70",NA,"2016","06",NA,"squid long finned",c(-67.2792355196145, 44.5628152930651)
"71",NA,"2019","05",NA,"squid long finned",c(-67.1636037901379, 44.6576618937339)
"72","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2013","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.6125, 42.588833)
"73","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.725167, 42.948333)
"74",NA,"2001","05",NA,"squid long finned",c(-67.7932503094814, 44.4544000959898)
"75","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-67.678333, 42.085833)
"76",NA,"2002","10","1",NA,c(-69.911, 42.31017)
"77",NA,"2012","10",NA,"squid long finned",c(-67.2999953833354, 44.5262301575218)
"78","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"79","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"80",NA,"2014","09",NA,"squid long finned",c(-70.3539503308248, 43.1152700470057)
"81","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.896, 43.901333)
"82","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"83",NA,"2002","10","2778",NA,c(-70.45967, 42.09817)
"84","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"85",NA,"2013","10",NA,"squid long finned",c(-67.5758755634848, 44.2744851615608)
"86",NA,"2009","10",NA,"squid long finned",c(-70.3457652474548, 43.5075550271157)
"87","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.573333, 42.716667)
"88",NA,"2012","05",NA,"squid long finned",c(-68.8587097799532, 44.2328000206772)
"89","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.015333, 42.712667)
"90",NA,"2012","05",NA,"squid long finned",c(-68.0785394460028, 44.2229002097594)
"91",NA,"2017","05",NA,"squid long finned",c(-67.5660903612088, 44.288900047196)
"92",NA,"2003","06",NA,"squid long finned",c(-66.9215905803866, 44.7805502099271)
"93","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"94",NA,"2015","10",NA,"squid long finned",c(-69.0790852000737, 43.866415019742)
"95","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"96",NA,"2012","05",NA,"squid long finned",c(-68.7510500488952, 44.1183000038586)
"97",NA,"2010","10",NA,"squid long finned",c(-70.0838003615088, 43.7567000527812)
"98",NA,"2014","10",NA,"squid long finned",c(-70.2372354343516, 43.4069151234024)
"99","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"100",NA,"2013","10",NA,"squid long finned",c(-67.6657101823587, 44.3722650967424)
"101","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"102",NA,"2017","05",NA,"squid long finned",c(-68.5528502697559, 44.1465001274509)
"103",NA,"2012","10",NA,"squid long finned",c(-69.7848746950482, 43.5526900393098)
"104","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.55, 43.946333)
"105",NA,"2012","06",NA,"squid long finned",c(-66.9526601645211, 44.8024500810069)
"106",NA,"2012","10",NA,"squid long finned",c(-68.221674848041, 44.043080016728)
"107",NA,"2002","10",NA,"squid long finned",c(-69.8945752501489, 43.6874754380469)
"108","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2016","07",NA,NA,c(-64.528, 43.6657)
"109","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-67.678333, 42.085833)
"110","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"111",NA,"2002","11",NA,"squid long finned",c(-68.2135099406818, 44.0005153169164)
"112",NA,"2008","10",NA,"squid long finned",c(-68.1328599953958, 44.264160004059)
"113",NA,"2017","10",NA,"squid long finned",c(-69.3944603964678, 43.7658400717731)
"114","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.666167, 44.915167)
"115",NA,"2004","10",NA,"squid long finned",c(-70.0221854562559, 43.5246301498497)
"116",NA,"2013","10",NA,"squid long finned",c(-68.3752055175165, 43.8986601637512)
"117",NA,"2014","10",NA,"squid long finned",c(-67.6884852855992, 44.3980450755826)
"118",NA,"2008","11",NA,"squid long finned",c(-67.4564299438981, 44.5846350537047)
"119",NA,"2017","05",NA,"squid long finned",c(-68.0086155943812, 44.1010952406809)
"120","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"121","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-65.2888, 42.6862)
"122","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.265667, 42.738667)
"123",NA,"2000","10","1",NA,c(-70.56167, 42.4905)
"124",NA,"2003","11",NA,"squid long finned",c(-68.5185852239125, 43.9180850680882)
"125",NA,"2015","10",NA,"squid long finned",c(-70.2875753694744, 43.5494551872199)
"126","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"127","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.326667, 42.3955)
"128",NA,"2007","10",NA,"squid long finned",c(-69.8584953224326, 43.627595044869)
"129","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.425667, 42.362)
"130",NA,"2013","10",NA,"squid long finned",c(-67.445120425012, 44.5970352186738)
"131",NA,"2002","05",NA,"squid long finned",c(-68.0715997367241, 44.2111203894432)
"132",NA,"2005","11",NA,"squid long finned",c(-68.4858204955361, 43.9499352708822)
"133","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.288833, 42.686167)
"134","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2019","07",NA,NA,c(-66.5452, 44.1588)
"135",NA,"2015","06",NA,"squid long finned",c(-67.7004251293739, 44.2795000098771)
"136",NA,"2012","10",NA,"squid long finned",c(-68.7593497565388, 44.1407100283827)
"137",NA,"2011","10",NA,"squid long finned",c(-68.436200348774, 43.9940951303067)
"138","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-67.254167, 42.097667)
"139",NA,"2000","10","1",NA,c(-67.27017, 42.14467)
"140","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-66.8673, 44.7592)
"141",NA,"2012","05",NA,"squid long finned",c(-68.4077205549307, 44.3878452446358)
"142",NA,"2014","10",NA,"squid long finned",c(-70.2778002135884, 43.4179250524027)
"143","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"144","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.472833, 42.620333)
"145","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"146","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2013","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.154667, 42.514667)
"147",NA,"2013","10",NA,"squid long finned",c(-68.5369002176157, 44.3512800271495)
"148",NA,"2004","10",NA,"squid long finned",c(-69.7464003181793, 43.6726750562139)
"149","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","06",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.036833, 43.526167)
"150",NA,"2005","10","214",NA,c(-70.50703, 42.22848)
"151",NA,"2002","10","21",NA,c(-66.686, 43.71583)
"152",NA,"2000","11",NA,"squid long finned",c(-68.6277004893562, 43.9076002742716)
"153","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"154","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-64.5193, 42.8787)
"155",NA,"2007","10",NA,"squid long finned",c(-69.1448003325542, 43.9655103525021)
"156",NA,"2013","05",NA,"squid long finned",c(-68.1916848352792, 44.4424601248809)
"157","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.55, 43.9463)
"158",NA,"2009","10",NA,"squid long finned",c(-70.1737954211812, 43.7111751192496)
"159","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.858667, 42.482333)
"160",NA,"2012","05",NA,"squid long finned",c(-69.6550300868546, 43.7647600072666)
"161",NA,"2006","10","28",NA,c(-70.14597, 42.8976)
"162","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"163","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.435167, 43.9845)
"164",NA,"2012","10",NA,"squid long finned",c(-69.9362152211525, 43.705920034352)
"165","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2013","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.589333, 43.3845)
"166",NA,"2019","10",NA,"squid long finned",c(-69.3560924882622, 43.7638306004606)
"167",NA,"2018","05",NA,"squid long finned",c(-70.0610853645933, 43.6286200610049)
"168","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.875667, 42.468833)
"169",NA,"2019","10",NA,"squid long finned",c(-69.5266772097715, 43.8482084309526)
"170","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"171",NA,"2005","11","8",NA,c(-70.55102, 42.7408)
"172","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"173","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"174","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"175",NA,"2016","10",NA,"squid long finned",c(-68.3302852726005, 43.9766300772436)
"176",NA,"2012","09",NA,"squid long finned",c(-70.1882704122199, 43.447165071743)
"177",NA,"2008","10",NA,"squid long finned",c(-69.6893853190554, 43.5507050414669)
"178","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"179",NA,"2013","05",NA,"squid long finned",c(-70.0411901779781, 43.4040950184941)
"180",NA,"2012","05",NA,"squid long finned",c(-68.4908494317312, 44.3820001219857)
"181",NA,"2011","10",NA,"squid long finned",c(-70.2057401928144, 43.3768250177789)
"182",NA,"2011","10",NA,"squid long finned",c(-68.2068999331986, 44.0111100050305)
"183",NA,"2008","06",NA,"squid long finned",c(-67.5773605321979, 44.4104501528153)
"184","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"185","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.472833, 42.620333)
"186",NA,"2006","10","1",NA,c(-70.17449, 43.19733)
"187","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"188",NA,"2005","10",NA,"squid long finned",c(-69.4169205353609, 43.8322502013173)
"189",NA,"2011","10",NA,"squid long finned",c(-70.3899605174284, 43.1470252447757)
"190","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.015333, 42.712667)
"191","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.6135, 42.696333)
"192","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.362667, 44.103833)
"193","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"194",NA,"2016","06",NA,"squid long finned",c(-67.3028256292985, 44.5259503175628)
"195","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.257333, 42.392667)
"196",NA,"2001","09",NA,"squid long finned",c(-70.4959506517301, 43.2908002581811)
"197",NA,"2002","10",NA,"squid long finned",c(-70.0207654367678, 43.5261501547529)
"198",NA,"2009","10",NA,"squid long finned",c(-69.6536053274792, 43.6917950425682)
"199","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.478333, 42.220667)
"200",NA,"2013","09",NA,"squid long finned",c(-70.1141553026518, 43.5154450397127)
"201",NA,"2009","10",NA,"squid long finned",c(-69.8689150090964, 43.6953100036738)
"202",NA,"2008","10",NA,"squid long finned",c(-67.6152153638839, 44.2902253291768)
"203","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.425667, 42.362)
"204",NA,"2007","06",NA,"squid long finned",c(-68.1176248042529, 44.3617100228345)
"205",NA,"2019","09",NA,"squid long finned",c(-70.1897355892921, 43.2583042426041)
"206","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"207","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.754833, 42.272833)
"208",NA,"2006","10",NA,"squid long finned",c(-70.7447802406221, 42.9283950521681)
"209","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"210",NA,"2019","05",NA,"squid long finned",c(-69.1014959807118, 43.7864813394503)
"211","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"212",NA,"2011","10",NA,"squid long finned",c(-70.0421846091763, 43.4530800654642)
"213","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"214",NA,"2000","11",NA,"squid long finned",c(-70.2879505041223, 43.4258001728975)
"215",NA,"2011","10",NA,"squid long finned",c(-70.7569752885011, 42.925125098759)
"216",NA,"2011","10",NA,"squid long finned",c(-68.4730745855929, 44.2878401113088)
"217","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.2375, 42.613)
"218",NA,"2013","10",NA,"squid long finned",c(-67.7456006212144, 44.3482952750629)
"219","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.238333, 42.610667)
"220",NA,"2007","05",NA,"squid long finned",c(-70.5452605492858, 43.0153001580067)
"221",NA,"2001","10",NA,"squid long finned",c(-68.490849675099, 44.3699000519799)
"222",NA,"2010","10",NA,"squid long finned",c(-68.4366346666078, 44.252790074384)
"223",NA,"2014","09",NA,"squid long finned",c(-70.7158852770872, 42.9458200922551)
"224",NA,"2001","09",NA,"squid long finned",c(-70.5122002831691, 43.2973000354601)
"225","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"226",NA,"2000","11",NA,"squid long finned",c(-68.7550504895246, 43.9223003061457)
"227",NA,"2005","10",NA,"squid long finned",c(-69.511915066436, 43.6916650055996)
"228","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-65.4667, 44.9813)
"229",NA,"2008","06",NA,"squid long finned",c(-67.0875258551334, 44.7241652993741)
"230",NA,"2001","10","1",NA,c(-67.44154, 42.43659)
"231",NA,"2004","11",NA,"squid long finned",c(-68.5255903966977, 43.9061150857695)
"232",NA,"2010","05",NA,"squid long finned",c(-69.6945403646099, 43.540065051812)
"233","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.902833, 42.718167)
"234","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-67.475833, 43.263667)
"235","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"236",NA,"2008","10",NA,"squid long finned",c(-70.2723651737605, 43.1634253474386)
"237",NA,"2005","10",NA,"squid long finned",c(-70.7515004492901, 42.9305801047916)
"238","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.988833, 42.204333)
"239",NA,"2003","11",NA,"squid long finned",c(-68.755500086859, 43.9115800064458)
